V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,mTurkCode,Q6,Q9,Q1,Q2,Q4,Q5,Q11,Q10,LocationLatitude,LocationLongitude,LocationAccuracy,
R_11buDNQNPnr4ADn,Default Response Set,Anonymous,,,128.193.154.203,0,2016-05-16 10:54:54,2016-05-16 10:55:54,1,2429403,1,1,2,,,2,3,,44.564605712891,-123.2620010376,-1,
R_xhZIhXOC547yYhz,Default Response Set,Anonymous,,,98.95.32.239,0,2016-05-16 10:53:58,2016-05-16 10:55:54,1,2992669,1,1,,2,,2,3,,31.203201293945,-90.395599365234,-1,
R_sZpYuSzOvfnJEjL,Default Response Set,Anonymous,,,96.232.88.148,0,2016-05-16 10:51:27,2016-05-16 10:55:56,1,1390517,1,1,,2,,1,3,,41.125198364258,-73.791496276855,-1,
R_1JUyk305382oTAE,Default Response Set,Anonymous,,,75.146.236.78,0,2016-05-16 10:52:23,2016-05-16 10:56:16,1,5679322,1,1,2,,1,,3,,40.188293457031,-75.150199890137,-1,
R_1dNCnTCXK162wGJ,Default Response Set,Anonymous,,,98.19.73.134,0,2016-05-16 10:54:12,2016-05-16 10:56:41,1,5229171,1,1,,2,1,,3,none,38.207504272461,-83.398902893066,-1,
R_2fBB5HXd4Ke1SDv,Default Response Set,Anonymous,,,100.15.19.234,0,2016-05-16 10:55:22,2016-05-16 10:56:48,1,5264763,1,1,2,,1,,3,,38.625900268555,-76.977897644043,-1,
R_2TyJQEPaMGvhuWQ,Default Response Set,Anonymous,,,64.107.3.126,0,2016-05-16 10:53:39,2016-05-16 10:56:53,1,9684471,1,1,2,,,2,3,,41.849304199219,-87.67310333252,-1,
R_1IhK1RCPiHH4W55,Default Response Set,Anonymous,,,72.76.39.199,0,2016-05-16 10:55:47,2016-05-16 10:57:08,1,2727411,1,1,2,,,2,3,No comments.,40.896301269531,-74.151298522949,-1,
R_3EXB9hNa8lCbIsN,Default Response Set,Anonymous,,,108.23.22.28,0,2016-05-16 10:53:26,2016-05-16 10:57:10,1,5161177,1,1,,2,,1,3,"Please have a better attention check then asking for ""the third option from the top"" as this may confuse individuals. ",33.986892700195,-117.65550231934,-1,
R_3EiEuGMwhYS7z8N,Default Response Set,Anonymous,,,12.106.89.55,0,2016-05-16 10:54:16,2016-05-16 10:57:19,1,9436764,1,1,,2,2,,3,,30.600494384766,-81.528297424316,-1,
R_2rSLGP1JXGKj0pT,Default Response Set,Anonymous,,,65.88.88.156,0,2016-05-16 10:55:48,2016-05-16 10:57:20,1,4540172,1,1,,2,,1,3,,40.716796875,-73.986099243164,-1,
R_bjy5IWL7rD9RFCN,Default Response Set,Anonymous,,,70.170.125.68,0,2016-05-16 10:55:30,2016-05-16 10:57:20,1,6200087,1,1,,2,,2,3,,36.175003051758,-115.13719940186,-1,
R_0wAlUpn5yI6RU0V,Default Response Set,Anonymous,,,66.219.192.2,0,2016-05-16 10:54:58,2016-05-16 10:57:24,1,2934889,1,1,,2,1,,3,,40.7001953125,-111.94339752197,-1,
R_3jYumJYQuqZvANM,Default Response Set,Anonymous,,,74.115.76.77,0,2016-05-16 10:55:40,2016-05-16 10:57:44,1,7793101,1,1,,2,1,,3,,42.133407592773,-74.639602661133,-1,
R_T1MEpLxzZegwZm9,Default Response Set,Anonymous,,,192.203.137.242,0,2016-05-16 10:56:48,2016-05-16 10:57:47,1,7655477,1,1,,2,1,,3,n/a,41.866104125977,-88.058296203613,-1,
R_1Qchu1hjBfENDAv,Default Response Set,Anonymous,,,75.105.76.12,0,2016-05-16 10:55:05,2016-05-16 10:57:54,1,3254044,1,1,2,,1,,3,,30.450698852539,-91.154602050781,-1,
R_3egd9Q3g9P7cHIE,Default Response Set,Anonymous,,,71.13.66.20,0,2016-05-16 10:56:10,2016-05-16 10:58:00,1,794756,1,1,1,,2,,3,This was super hard to understand at the beginning.,45.34489440918,-84.915000915527,-1,
R_TjQlg7GnNcbnhjX,Default Response Set,Anonymous,,,162.195.226.150,0,2016-05-16 10:53:46,2016-05-16 10:58:04,1,9602493,1,1,1,,,1,3,,37.645401000977,-95.462997436523,-1,
R_vJtb1B4FL0LEpVL,Default Response Set,Anonymous,,,75.121.112.81,0,2016-05-16 10:54:45,2016-05-16 10:58:06,1,5237802,1,1,2,,,2,3,none,36.978393554688,-93.233200073242,-1,
R_2YLGvqHZaYFAkfn,Default Response Set,Anonymous,,,158.145.224.113,0,2016-05-16 10:57:00,2016-05-16 10:58:13,1,7011126,1,1,2,,,2,2,,61.177703857422,-149.6383972168,-1,
R_1nPLgRImfkQ6yY4,Default Response Set,Anonymous,,,76.18.18.42,0,2016-05-16 10:56:36,2016-05-16 10:58:14,1,9806978,1,1,2,,,2,3,None.,25.736297607422,-80.404403686523,-1,
R_1fmh4SaZyrvzCgG,Default Response Set,Anonymous,,,71.13.66.20,0,2016-05-16 10:58:11,2016-05-16 10:58:31,1,7289346,1,1,1,,1,,3,,45.34489440918,-84.915000915527,-1,
R_3n8Hn7W1wOunIr4,Default Response Set,Anonymous,,,74.77.38.141,0,2016-05-16 10:54:24,2016-05-16 10:58:33,1,8649650,1,1,2,,,2,3,Third option from the top is a strangely worded attention check,42.974197387695,-78.848098754883,-1,
R_3kAt6SBDMvv3eCJ,Default Response Set,Anonymous,,,207.224.177.28,0,2016-05-16 10:58:22,2016-05-16 10:58:46,1,5288156,1,1,1,,1,,3,,33.247894287109,-111.78949737549,-1,
R_SJiPOW5cJjwqI2l,Default Response Set,Anonymous,,,73.74.85.109,0,2016-05-16 10:57:19,2016-05-16 10:59:00,1,6942498,1,1,,2,,1,3,,41.878005981445,-88.016296386719,-1,
R_2uUvPrSdooP78y4,Default Response Set,Anonymous,,,112.211.201.187,0,2016-05-16 10:55:56,2016-05-16 10:59:22,1,3511810,1,1,,2,2,,2,The survey was very short and it was interesting. Thank you!,14.648803710938,121.05090332031,-1,
R_27xnQkipWHnbXKV,Default Response Set,Anonymous,,,50.111.3.212,0,2016-05-16 10:57:39,2016-05-16 10:59:48,1,6135146,1,1,,2,2,,3,none,35.183303833008,-83.430702209473,-1,
R_cFGSWMVxz2isMX7,Default Response Set,Anonymous,,,50.0.150.74,0,2016-05-16 10:58:22,2016-05-16 11:00:16,1,2151032,1,1,,2,,2,3,,37.419204711914,-122.05740356445,-1,
R_1DUdrfdCF8oHWaQ,Default Response Set,Anonymous,,,76.26.41.120,0,2016-05-16 10:59:20,2016-05-16 11:00:54,1,5686488,1,1,,2,1,,3,,26.069793701172,-80.222297668457,-1,
R_26nd9yUZSIjcRz8,Default Response Set,Anonymous,,,73.7.88.61,0,2016-05-16 10:59:09,2016-05-16 11:00:54,1,2467961,1,1,2,,,1,3,,33.882202148438,-84.378303527832,-1,
R_2TNpj8bN8m7uIRi,Default Response Set,Anonymous,,,152.26.196.32,0,2016-05-16 11:00:00,2016-05-16 11:00:56,1,8895923,1,1,2,,1,,3,,35.62190246582,-82.470901489258,-1,
R_SHQbUp2GGpQcDmx,Default Response Set,Anonymous,,,40.131.220.171,0,2016-05-16 10:56:43,2016-05-16 11:01:09,1,7775722,1,1,1,,2,,3,,28.553497314453,-81.300399780273,-1,
R_NVlZxO7gFWRlXbj,Default Response Set,Anonymous,,,184.35.9.62,0,2016-05-16 10:59:23,2016-05-16 11:02:31,1,4657040,1,1,1,,,1,3,,36.061706542969,-79.823402404785,-1,
R_OBSfmRJPvVzcbdf,Default Response Set,Anonymous,,,107.5.93.83,0,2016-05-16 11:01:48,2016-05-16 11:02:50,1,7455996,1,1,2,,,2,3,Fun idea.  Hope this is real when my son graduates in 2021.,42.690505981445,-83.054901123047,-1,
R_7NX1L8dnQFqwIUh,Default Response Set,Anonymous,,,72.224.97.17,0,2016-05-16 11:00:51,2016-05-16 11:03:19,1,8928397,1,1,1,,,2,3,,43.131301879883,-74.35710144043,-1,
R_3J3LNqaP673fG9W,Default Response Set,Anonymous,,,100.11.199.101,0,2016-05-16 11:02:08,2016-05-16 11:03:28,1,6539012,1,1,2,,2,,3,,40.019195556641,-75.09400177002,-1,
R_1DFHsSaJOJohbiN,Default Response Set,Anonymous,,,66.2.50.26,0,2016-05-16 11:01:02,2016-05-16 11:03:35,1,8861373,1,1,,2,,1,3,,37.515502929688,-121.89619445801,-1,
R_2qE0sRdl9F1RnjZ,Default Response Set,Anonymous,,,198.135.125.182,0,2016-05-16 11:01:34,2016-05-16 11:03:48,1,4225257,1,1,2,,,1,3,,41.850006103516,-87.650001525879,-1,
R_3fknf4fWeQjbBXh,Default Response Set,Anonymous,,,76.121.196.105,0,2016-05-16 11:00:35,2016-05-16 11:03:57,1,656647,1,1,,2,1,,3,I enjoyed doing this from you. Please let me know if I can do more of these from you? /  Thanks /  MK,47.101501464844,-122.32720184326,-1,
R_dnUl1Q1pyrSNc6R,Default Response Set,Anonymous,,,173.90.164.28,0,2016-05-16 11:02:22,2016-05-16 11:04:02,1,563945,1,1,,2,,1,3,,41.364898681641,-82.11499786377,-1,
R_1Cpvj2624o1jMBd,Default Response Set,Anonymous,,,24.110.60.39,0,2016-05-16 11:03:07,2016-05-16 11:04:18,1,4566100,1,1,2,,,2,3,,28.522506713867,-81.483497619629,-1,
R_1CBIfAjaDFG43oS,Default Response Set,Anonymous,,,104.231.229.5,0,2016-05-16 11:02:30,2016-05-16 11:04:42,1,2151420,1,1,2,,,2,3,,43.049102783203,-88.002601623535,-1,
R_1o28Znk4vll1dsF,Default Response Set,Anonymous,,,128.170.224.10,0,2016-05-16 10:57:21,2016-05-16 11:04:49,1,2033644,1,1,2,,,1,3,,32.778701782227,-96.821701049805,-1,
R_2c7vwyFFsQ47LPk,Default Response Set,Anonymous,,,66.212.65.6,0,2016-05-16 11:03:18,2016-05-16 11:05:07,1,8205415,1,1,,2,1,,3,Thank you!,47.635498046875,-122.32350158691,-1,
R_25u8bTvTCmNA0DJ,Default Response Set,Anonymous,,,76.122.212.110,0,2016-05-16 11:04:32,2016-05-16 11:05:51,1,5981133,1,1,1,,1,,3,,36.067901611328,-86.719398498535,-1,
R_1jps5RrXroseSOX,Default Response Set,Anonymous,,,73.14.39.123,0,2016-05-16 11:04:34,2016-05-16 11:06:35,1,6466706,1,1,,2,,2,3,,40.524002075195,-105.13960266113,-1,
R_3aswy3qxlgFy7NX,Default Response Set,Anonymous,,,143.214.99.138,0,2016-05-16 11:06:11,2016-05-16 11:06:50,1,1139795,1,1,,2,,2,1,Nope thanks!,31.527297973633,-110.36070251465,-1,
R_2Sqo9gKBHIFAaKO,Default Response Set,Anonymous,,,98.146.230.165,0,2016-05-16 11:00:25,2016-05-16 11:07:02,1,6447554,1,1,,1,1,,3,,47.718002319336,-116.95159912109,-1,
R_tW1STFxIzbdzYpX,Default Response Set,Anonymous,,,66.76.242.59,0,2016-05-16 11:05:06,2016-05-16 11:07:15,1,4278076,1,1,2,,2,,3,,30.567001342773,-96.283699035645,-1,
R_yKECj3o5bpkJWuJ,Default Response Set,Anonymous,,,174.53.4.82,0,2016-05-16 11:05:19,2016-05-16 11:07:51,1,8996729,1,1,,2,,2,3,,34.85009765625,-92.326400756836,-1,
R_Uot3RJY0TV7Wb7P,Default Response Set,Anonymous,,,72.51.89.31,0,2016-05-16 11:02:47,2016-05-16 11:08:13,1,9361247,1,1,2,,1,,2,Thank you for letting me complete this survey I really appreciated I'm not sure if I did right but I did my best please forgive me for a tiny errors .,13.13330078125,-61.216697692871,-1,
R_Bs6V5LtHcBSde13,Default Response Set,Anonymous,,,207.254.174.84,0,2016-05-16 11:06:10,2016-05-16 11:08:32,1,3508306,1,1,,2,,2,3,,37.499801635742,-94.891502380371,-1,
R_6s205lgw9MRXf6d,Default Response Set,Anonymous,,,50.153.245.151,0,2016-05-16 11:08:07,2016-05-16 11:08:54,1,8304095,1,1,1,,,2,3,Thanks! ,38.935394287109,-77.028396606445,-1,
R_sG3KpXZWKKyB961,Default Response Set,Anonymous,,,172.112.8.146,0,2016-05-16 11:06:31,2016-05-16 11:08:57,1,8703267,1,1,,2,1,,1,No additional comments at this time.,34.252105712891,-118.78430175781,-1,
R_3JrfQdHoKjQGugJ,Default Response Set,Anonymous,,,24.38.192.5,0,2016-05-16 11:02:12,2016-05-16 11:09:03,1,2947470,1,1,,2,2,,3,,41.139602661133,-73.405601501465,-1,
R_1OSKSMNiIFc3btl,Default Response Set,Anonymous,,,73.200.45.110,0,2016-05-16 11:07:58,2016-05-16 11:09:03,1,7833454,1,1,2,,,2,2,hit the wrong answer on the last question -_- sorry bout that,38.667999267578,-75.397300720215,-1,
R_1IWoVAulsfcfAqk,Default Response Set,Anonymous,,,72.208.193.156,0,2016-05-16 11:09:31,2016-05-16 11:10:01,1,1274516,1,1,,2,,2,3,,33.320098876953,-111.87390136719,-1,
R_25tGRkWQvRypdD4,Default Response Set,Anonymous,,,189.254.243.8,0,2016-05-16 11:08:34,2016-05-16 11:10:59,1,2356381,1,1,,2,,2,1,,21.844192504883,-102.32250213623,-1,
R_1LnRQjau9pjECRf,Default Response Set,Anonymous,,,172.56.11.199,0,2016-05-16 11:08:34,2016-05-16 11:11:00,1,6772887,1,1,2,,1,,3,None,42.328399658203,-83.055397033691,-1,
R_3iRcago8d9fjN9j,Default Response Set,Anonymous,,,67.253.157.3,0,2016-05-16 11:10:18,2016-05-16 11:11:48,1,2891792,1,1,,2,,1,3,,42.740097045898,-78.16480255127,-1,
R_2EnwIwuNvK5IBpw,Default Response Set,Anonymous,,,50.4.106.43,0,2016-05-16 11:10:45,2016-05-16 11:11:56,1,3636091,1,1,1,,2,,3,,42.600494384766,-83.119598388672,-1,
R_SWgpZthR49Lm1Ql,Default Response Set,Anonymous,,,189.254.243.8,0,2016-05-16 11:11:19,2016-05-16 11:11:57,1,1853596,1,1,2,,2,,3,,21.844192504883,-102.32250213623,-1,
R_3ke89QrvlEN1kHQ,Default Response Set,Anonymous,,,75.164.194.184,0,2016-05-16 10:52:06,2016-05-16 11:12:18,1,4860742,1,1,,2,,2,3,,45.440704345703,-122.61569976807,-1,
R_UiuPL9O2Kfq304N,Default Response Set,Anonymous,,,68.50.32.27,0,2016-05-16 11:05:34,2016-05-16 11:12:38,1,5075287,1,1,,2,,2,3,none,38.861999511719,-86.471099853516,-1,
R_0wGbx2Ny9HKJ9fP,Default Response Set,Anonymous,,,71.10.169.166,0,2016-05-16 11:09:57,2016-05-16 11:13:05,1,8081562,1,1,2,,1,,3,,38.742202758789,-90.25789642334,-1,
R_2RRfKSPjmPeMg7M,Default Response Set,Anonymous,,,24.177.1.15,0,2016-05-16 11:09:36,2016-05-16 11:13:30,1,1926254,1,1,1,,,2,3,Interesting survey.,41.626693725586,-72.245796203613,-1,
R_3LbTJtxHwZMHSn7,Default Response Set,Anonymous,,,73.205.71.146,0,2016-05-16 11:12:55,2016-05-16 11:13:52,1,4915821,1,1,,2,1,,3,,25.76579284668,-80.234901428223,-1,
R_2Xil09HgGSQalgl,Default Response Set,Anonymous,,,76.123.242.207,0,2016-05-16 11:11:32,2016-05-16 11:14:23,1,1497380,1,1,,2,1,,3,None,35.929794311523,-86.460502624512,-1,
R_3EZ3h8rzVtKcAMo,Default Response Set,Anonymous,,,173.217.133.158,0,2016-05-16 11:14:07,2016-05-16 11:14:37,1,1393536,1,1,2,,,2,3,,31.28840637207,-92.388000488281,-1,
R_3dFKfk7SCUP1n4K,Default Response Set,Anonymous,,,67.171.185.176,0,2016-05-16 11:09:58,2016-05-16 11:15:19,1,6546556,1,1,,2,1,,3,,45.498001098633,-122.77839660645,-1,
R_25Fyy0gvfMqpmSq,Default Response Set,Anonymous,,,50.240.86.58,0,2016-05-16 11:14:44,2016-05-16 11:15:22,1,8606631,1,1,1,,2,,3,"None, thank you.",37.59489440918,-77.575698852539,-1,
R_C48A4ByrVmEuXjX,Default Response Set,Anonymous,,,136.61.35.204,0,2016-05-16 11:12:54,2016-05-16 11:15:22,1,3378659,1,1,,2,2,,3,,39.014205932617,-94.595100402832,-1,
R_1OoDgdtRvCc4aKO,Default Response Set,Anonymous,,,32.218.34.143,0,2016-05-16 11:08:56,2016-05-16 11:15:25,1,1243493,1,1,2,,1,,3,Thank you!,41.352996826172,-73.001800537109,-1,
R_BLBM0MI7nXQjwlP,Default Response Set,Anonymous,,,71.8.112.222,0,2016-05-16 11:06:55,2016-05-16 11:15:33,1,6647399,1,1,,2,2,,3,"Though 7 students receiving $10 gift cards for books and supplies is not a bad idea. There would not be 98 students remaining, there would only be 93 students remaining. ",32.865905761719,-97.217597961426,-1,
R_dheciFbnSw00VTr,Default Response Set,Anonymous,,,108.255.25.112,0,2016-05-16 11:14:45,2016-05-16 11:15:41,1,5331642,1,1,,2,,2,3,fun survey,41.533004760742,-87.889801025391,-1,
R_3eqLTdIbzWlFNVc,Default Response Set,Anonymous,,,63.230.107.26,0,2016-05-16 11:00:31,2016-05-16 11:16:43,1,9278497,1,1,,2,1,,2,,46.925704956055,-96.828598022461,-1,
R_DiyKdSrWZS5KoiR,Default Response Set,Anonymous,,,192.183.4.250,0,2016-05-16 11:15:17,2016-05-16 11:16:51,1,796142,1,1,1,,1,,3,,42.232192993164,-85.773597717285,-1,
R_25yg8WDpXSHKNLj,Default Response Set,Anonymous,,,65.210.105.101,0,2016-05-16 11:16:18,2016-05-16 11:17:30,1,9911429,1,1,,2,,1,3,,38.934494018555,-77.059600830078,-1,
R_qC0syOKsTAUqFYR,Default Response Set,Anonymous,,,98.233.193.101,0,2016-05-16 11:17:06,2016-05-16 11:17:31,1,2513788,1,1,1,,1,,3,,38.837799072266,-77.000900268555,-1,
R_3068MBulRFmIsog,Default Response Set,Anonymous,,,50.30.114.40,0,2016-05-16 11:16:57,2016-05-16 11:18:09,1,8524463,1,1,2,,2,,1,,36.873596191406,-86.874900817871,-1,
R_3qsyXhZiFaysVd1,Default Response Set,Anonymous,,,73.130.22.134,0,2016-05-16 11:16:49,2016-05-16 11:18:40,1,8058344,1,1,,2,1,,3,,40.291793823242,-77.002197265625,-1,
R_24iWUcbaZhd9nNL,Default Response Set,Anonymous,,,108.73.39.136,0,2016-05-16 11:16:53,2016-05-16 11:19:05,1,8421314,1,1,2,,,2,3,,29.275894165039,-94.831100463867,-1,
R_1S45cTJapGq1s1b,Default Response Set,Anonymous,,,65.32.209.98,0,2016-05-16 11:15:47,2016-05-16 11:19:32,1,6978344,1,1,,2,2,,3,,28.764694213867,-82.377098083496,-1,
R_pnNdKFykuQC2aZj,Default Response Set,Anonymous,,,24.165.155.59,0,2016-05-16 11:19:15,2016-05-16 11:19:34,1,8922583,1,1,,1,2,,3,,42.095199584961,-80.092796325684,-1,
R_3pncNiIEICdc9ij,Default Response Set,Anonymous,,,71.173.6.215,0,2016-05-16 11:18:01,2016-05-16 11:20:13,1,6905514,1,1,2,,2,,3,,40.939498901367,-75.969497680664,-1,
R_1LO7S5HIg6aFpY1,Default Response Set,Anonymous,,,76.125.163.190,0,2016-05-16 11:19:24,2016-05-16 11:20:51,1,2026934,1,1,,1,2,,3,,40.335601806641,-79.55069732666,-1,
R_3Gq3Nro3CKO7gKy,Default Response Set,Anonymous,,,74.131.157.175,0,2016-05-16 11:18:57,2016-05-16 11:20:51,1,1105302,1,1,2,,,1,3,,38.144195556641,-85.693199157715,-1,
R_1EZN4KScuSqL4oE,Default Response Set,Anonymous,,,76.125.163.190,0,2016-05-16 11:19:23,2016-05-16 11:20:53,1,3589021,1,1,1,,,1,3,,40.335601806641,-79.55069732666,-1,
R_aa4KOcUe7UmVgUF,Default Response Set,Anonymous,,,73.246.98.161,0,2016-05-16 11:20:23,2016-05-16 11:21:41,1,6280022,1,1,,2,,2,3,none,41.946304321289,-87.812698364258,-1,
R_3hteF8oN6gBKSF0,Default Response Set,Anonymous,,,76.125.163.190,0,2016-05-16 11:19:25,2016-05-16 11:21:47,1,7176870,1,1,1,,,2,3,,40.335601806641,-79.55069732666,-1,
R_27BZJZbl02tmZ7A,Default Response Set,Anonymous,,,98.110.113.104,0,2016-05-16 11:11:01,2016-05-16 11:21:53,1,1596591,1,1,2,,,1,3,,39.874099731445,-74.80899810791,-1,
R_241ctoPgng4a0jP,Default Response Set,Anonymous,,,73.182.13.108,0,2016-05-16 11:18:44,2016-05-16 11:21:54,1,8498919,1,1,,2,,2,3,none,32.095703125,-81.25309753418,-1,
R_cxbRfQzDchdFqJr,Default Response Set,Anonymous,,,206.201.77.121,0,2016-05-16 11:21:33,2016-05-16 11:22:12,1,4572251,1,1,,1,,2,3,,30.33219909668,-81.655601501465,-1,
R_1hQj4wDPh9EuOXX,Default Response Set,Anonymous,,,96.36.91.56,0,2016-05-16 11:21:08,2016-05-16 11:22:22,1,8580822,1,1,,2,,2,3,,36.827896118164,-76.480003356934,-1,
R_1gTIMPBJGY3JyLW,Default Response Set,Anonymous,,,205.156.84.229,0,2016-05-16 11:22:48,2016-05-16 11:23:26,1,8500187,1,1,2,,2,,3,,40.714294433594,-74.005996704102,-1,
R_0JtTeFWXcfKecNP,Default Response Set,Anonymous,,,173.240.195.233,0,2016-05-16 11:22:16,2016-05-16 11:23:35,1,2179977,1,1,2,,2,,3,,41.563507080078,-93.784202575684,-1,
R_1jVcMCUClMKEoBS,Default Response Set,Anonymous,,,104.174.223.0,0,2016-05-16 11:24:11,2016-05-16 11:25:18,1,3523712,1,1,,2,,2,3,,34.097396850586,-117.90730285645,-1,
R_1oGsYYDPYdjcLTG,Default Response Set,Anonymous,,,208.67.168.72,0,2016-05-16 11:26:45,2016-05-16 11:27:02,1,8991420,1,1,2,,,2,3,,45.526306152344,-73.664901733398,-1,
R_cYgOPZmEy0ntdkZ,Default Response Set,Anonymous,,,75.66.20.43,0,2016-05-16 11:25:22,2016-05-16 11:27:37,1,4836080,1,1,,2,2,,3,I liked the choices they made me think.,32.367095947266,-90.358596801758,-1,
R_eWhx0dl2KvIUkCJ,Default Response Set,Anonymous,,,68.99.135.59,0,2016-05-16 11:27:10,2016-05-16 11:27:54,1,6982309,1,1,2,,,2,3,,33.352798461914,-111.78900146484,-1,
R_AagdD5MR4ZRMvO9,Default Response Set,Anonymous,,,206.248.54.44,0,2016-05-16 11:25:50,2016-05-16 11:28:06,1,1556293,1,1,,2,2,,3,nothing to add,31.99690246582,-97.137397766113,-1,
R_sI540u0PTOUM1Cp,Default Response Set,Anonymous,,,72.193.46.230,0,2016-05-16 11:25:59,2016-05-16 11:28:41,1,3833248,1,1,1,,1,,3,I thought only 100 students entered. In the second question it was stated that 7 students would receive a $10 gift card and 98 students would receive nothing. / Otherwise everything was all good.,36.234893798828,-115.29049682617,-1,
R_3RxCsoHWP0YeABF,Default Response Set,Anonymous,,,70.194.3.62,0,2016-05-16 11:28:09,2016-05-16 11:30:34,1,5866187,1,1,,2,,1,3,,42.785293579102,-83.586402893066,-1,
R_vSpmx3qw9E7jcFr,Default Response Set,Anonymous,,,67.232.65.128,0,2016-05-16 11:28:34,2016-05-16 11:30:56,1,4212364,1,1,,2,,2,3,None at this time.,45.706405639648,-121.7234954834,-1,
R_egId1bNBt9jTsjL,Default Response Set,Anonymous,,,164.119.71.232,0,2016-05-16 11:32:30,2016-05-16 11:32:56,1,2181663,1,1,2,,1,,3,,41.176498413086,-96.061302185059,-1,
R_2V3ds8PsjPF8fi3,Default Response Set,Anonymous,,,73.23.176.112,0,2016-05-16 11:32:13,2016-05-16 11:33:21,1,6207771,1,1,,2,2,,3,,26.152603149414,-81.736396789551,-1,
R_3JrrwUwjPE4kHRi,Default Response Set,Anonymous,,,134.29.67.240,0,2016-05-16 11:32:06,2016-05-16 11:34:39,1,747532,1,1,1,,,2,3,,44.130798339844,-94,-1,
R_28TdbJLjgDjBxWj,Default Response Set,Anonymous,,,108.90.121.212,0,2016-05-16 11:34:12,2016-05-16 11:35:47,1,3318064,1,1,1,,,2,3,,34.067398071289,-118.24229431152,-1,
R_26eSQ8T2oVY3qDr,Default Response Set,Anonymous,,,98.101.111.14,0,2016-05-16 11:38:34,2016-05-16 11:39:16,1,3377862,1,1,2,,1,,2,,36.117202758789,-80.076499938965,-1,
R_wOfNcOgtFR0NNoB,Default Response Set,Anonymous,,,142.196.78.188,0,2016-05-16 11:35:26,2016-05-16 11:40:50,1,3808736,1,1,,2,,2,3,,28.830093383789,-81.361801147461,-1,
R_00zlhEMyUGWO6qt,Default Response Set,Anonymous,,,108.225.54.116,0,2016-05-16 11:40:18,2016-05-16 11:42:53,1,7981091,1,1,,2,,2,2,,34.28630065918,-119.2266998291,-1,
R_1I49bMnLlKVVpUZ,Default Response Set,Anonymous,,,208.54.80.139,0,2016-05-16 11:43:00,2016-05-16 11:44:16,1,2526787,1,1,2,,1,,3,,41.844604492188,-87.717102050781,-1,
R_vIHDvwKAk2kDltL,Default Response Set,Anonymous,,,97.95.165.242,0,2016-05-16 11:43:21,2016-05-16 11:45:23,1,7770404,1,1,,2,,1,3,"For the first prize package, all of the students can benefit from that amount of money, but for the second package, 70$ for everyone isn't really enough to buy anything, so I felt that a few people greatly benefitting were better off than everyone getting something.",43.705307006836,-84.237701416016,-1,
R_2XiXAxlTdWNbcVC,Default Response Set,Anonymous,,,75.67.127.134,0,2016-05-16 11:42:51,2016-05-16 11:45:31,1,828750,1,1,2,,,1,3,,41.873397827148,-70.63939666748,-1,
R_2vddxVQw59aApA3,Default Response Set,Anonymous,,,174.104.13.169,0,2016-05-16 11:44:45,2016-05-16 11:45:45,1,2324651,1,1,2,,2,,3,,37.751007080078,-97.821998596191,-1,
R_1GBSIAMlpSpIMR1,Default Response Set,Anonymous,,,24.213.116.145,0,2016-05-16 11:46:24,2016-05-16 11:47:16,1,8117149,1,1,,2,1,,3,Best of luck with your research!,34.73649597168,-82.796699523926,-1,
R_tKagnVRA05PUQnv,Default Response Set,Anonymous,,,172.56.28.243,0,2016-05-16 11:46:19,2016-05-16 11:47:18,1,4407678,1,1,,2,2,,3,,39.951400756836,-75.158203125,-1,
R_2rBLMpUHMsbVAvf,Default Response Set,Anonymous,,,208.81.195.196,0,2016-05-16 11:46:21,2016-05-16 11:47:38,1,1561367,1,1,2,,2,,3,,42.473907470703,-91.887001037598,-1,
R_yIo0GyTW0MWJ4t3,Default Response Set,Anonymous,,,107.9.23.140,0,2016-05-16 11:46:03,2016-05-16 11:47:53,1,4266999,1,1,,2,1,,3,Not as difficult as I had anticipated. ,39.428497314453,-84.648696899414,-1,
R_1Cpe5xuFKgP8HhC,Default Response Set,Anonymous,,,108.47.225.5,0,2016-05-16 11:45:00,2016-05-16 11:48:41,1,6620063,1,1,,2,1,,3,The math doesn't work too well does it?,34.085205078125,-117.88780212402,-1,
R_3DkjFqe3KzVSBWr,Default Response Set,Anonymous,,,97.125.116.187,0,2016-05-16 11:47:27,2016-05-16 11:49:07,1,1341284,1,1,1,,,2,3,,44.069000244141,-123.08250427246,-1,
R_2CDgH1IslqqmfoS,Default Response Set,Anonymous,,,108.9.177.30,0,2016-05-16 11:47:14,2016-05-16 11:50:32,1,4290681,1,1,,2,,2,3,,27.385299682617,-82.63680267334,-1,
R_2urmHEoeSu6RP5Q,Default Response Set,Anonymous,,,69.136.236.240,0,2016-05-16 11:53:18,2016-05-16 11:54:45,1,5217920,1,1,,2,1,,3,Thank you!,39.052597045898,-77.121002197266,-1,
R_SBR0JsclXzwc8b7,Default Response Set,Anonymous,,,199.127.68.179,0,2016-05-16 11:54:37,2016-05-16 11:55:00,1,9392544,1,1,1,,,2,3,,37.253295898438,-113.28469848633,-1,
R_1HpZ8eiqyjUXU6T,Default Response Set,Anonymous,,,65.186.193.7,0,2016-05-16 11:54:25,2016-05-16 11:55:35,1,4432406,1,1,2,,,2,3,,40.041900634766,-82.961402893066,-1,
